Term,Duration,Duration between return of the writs and dissolution,Number of Sessions,Number of Speeches from the Throne,Budgets or Economic Statements,Date of First Budget,Days between election and first budget,Days between start of parliament and first budget,Senate Nominations,Senators appointed by Prime Minister,Government Type,Government Party,Prime Minister,Leader(s) of the Official Opposition,Official Opposition Party,Election Writs issued,General Election Date,By-Elections,Return of the Writs
1980-04-14 - 1984-07-09,"1547 days (4 years, 2 months, 25 days)","1582 days (4 years, 3 months, 30 days)",2,2,7,1980-04-21,63,7,24,"Pierre Elliott Trudeau (21)
John Napier Turner (3)",Majority,Liberal Party of Canada,"Trudeau, Pierre Elliott (1980-03-03 - 1984-06-29)
Turner, John Napier (1984-06-30 - 1984-09-16)","Clark, Charles Joseph (1980-03-03 - 1983-02-01)
Nielsen, Erik (1983-02-02 - 1983-08-28)
Mulroney, Martin Brian (1983-08-29 - 1984-09-16)",Progressive Conservative Party,1979-12-14,1980-02-18,12,1980-03-10
Parliament: 31,,,,,,,,,,,,,,,,,,,
1979-10-09 - 1979-12-14,"66 days (2 months, 5 days)","186 days (6 months, 3 days)",1,1,1,1979-12-11,203,63,11,Charles Joseph Clark (11),Minority,Progressive Conservative Party,"Clark, Charles Joseph","Trudeau, Pierre Elliott",Liberal Party of Canada,1979-03-26,1979-05-22,2,1979-06-11
Parliament: 30,,,,,,,,,,,,,,,,,,,
1974-09-30 - 1979-03-26,"1638 days (4 years, 5 months, 25 days)","1699 days (4 years, 7 months, 25 days)",4,4,7,1974-11-18,133,49,24,Pierre Elliott Trudeau (24),Majority,Liberal Party of Canada,"Trudeau, Pierre Elliott","Stanfield, Robert Lorne (1967-11-06 - 1976-02-21)
Clark, Charles Joseph (1976-02-22 - 1979-06-03)",Progressive Conservative Party,1974-05-09,1974-07-08,25,1974-07-31
Parliament: 29,,,,,,,,,,,,,,,,,,,
1973-01-04 - 1974-05-09,"490 days (1 years, 4 months, 3 days)","535 days (1 years, 5 months, 18 days)",2,2,2,1973-02-19,112,46,7,Pierre Elliott Trudeau (7),Minority,Liberal Party of Canada,"Trudeau, Pierre Elliott","Stanfield, Robert Lorne",Progressive Conservative Party,1972-09-01,1972-10-30,0,1972-11-20
Parliament: 28,,,,,,,,,,,,,,,,,,,
1968-09-12 - 1972-09-01,"1450 days (3 years, 11 months, 19 days)","1499 days (4 years, 1 months, 8 days)",4,4,7,1968-10-22,119,40,27,Pierre Elliott Trudeau (27),Majority,Liberal Party of Canada,"Trudeau, Pierre Elliott","Stanfield, Robert Lorne",Progressive Conservative Party,1968-04-23,1968-06-25,11,1968-07-25
Parliament: 27,,,,,,,,,,,,,,,,,,,
1966-01-18 - 1968-04-23,"826 days (2 years, 3 months, 5 days)","866 days (2 years, 4 months, 14 days)",2,2,4,1966-03-29,141,70,30,"Lester Bowles Pearson (28)
Pierre Elliott Trudeau (2)",Minority,Liberal Party of Canada,"Pearson, Lester Bowles (1963-04-22 - 1968-04-19)
Trudeau, Pierre Elliott (1968-04-20 - 1979-06-03)","Diefenbaker, John George (1963-04-22 - 1967-09-08)
Starr, Michael (1967-09-09 - 1967-11-05)
Stanfield, Robert Lorne (1967-11-06 - 1976-02-21)",Progressive Conservative Party,1965-09-08,1965-11-08,11,1965-12-09
Parliament: 26,,,,,,,,,,,,,,,,,,,
1963-05-16 - 1965-09-08,"846 days (2 years, 3 months, 25 days)","854 days (2 years, 4 months, 2 days)",3,3,3,1963-06-13,66,28,11,Lester Bowles Pearson (11),Minority,Liberal Party of Canada,"Pearson, Lester Bowles","Diefenbaker, John George",Progressive Conservative Party,1963-02-06,1963-04-08,6,1963-05-08
Parliament: 25,,,,,,,,,,,,,,,,,,,
1962-09-27 - 1963-02-06,"132 days (4 months, 10 days)","203 days (6 months, 20 days)",1,1,0,,0,0,12,John George Diefenbaker (12),Minority,Progressive Conservative Party,"Diefenbaker, John George","Pearson, Lester Bowles",Liberal Party of Canada,1962-04-19,1962-06-18,1,1962-07-18
Parliament: 24,,,,,,,,,,,,,,,,,,,
1958-05-12 - 1962-04-19,"1438 days (3 years, 11 months, 7 days)","1450 days (3 years, 11 months, 19 days)",5,5,6,1958-06-17,78,36,13,John George Diefenbaker (13),Majority,Progressive Conservative Party,"Diefenbaker, John George","Pearson, Lester Bowles",Liberal Party of Canada,1958-02-01,1958-03-31,14,1958-04-30
Parliament: 23,,,,,,,,,,,,,,,,,,,
1957-10-14 - 1958-02-01,"110 days (3 months, 19 days)","177 days (5 months, 25 days)",1,1,1,1957-12-06,179,53,12,John George Diefenbaker (12),Minority,Progressive Conservative Party,"Diefenbaker, John George","St-Laurent, Louis Stephen (1957-06-21 - 1958-01-15)
Pearson, Lester Bowles (1958-01-16 - 1963-04-21)",Liberal Party of Canada,1957-04-12,1957-06-10,3,1957-08-08
Parliament: 22,,,,,,,,,,,,,,,,,,,
1953-11-12 - 1957-04-12,"1247 days (3 years, 4 months, 29 days)","1282 days (3 years, 6 months, 3 days)",5,5,4,1954-04-06,239,145,19,Louis Stephen St-Laurent (19),Majority,Liberal Party of Canada,"St-Laurent, Louis Stephen","Drew, George Alexander (1948-10-02 - 1954-11-01)
Rowe, William Earl (1954-11-01 - 1955-02-01)
Drew, George Alexander (1955-02-01 - 1956-08-01)
Rowe, William Earl (1956-08-01 - 1956-12-13)
Diefenbaker, John George (1956-12-14 - 1957-06-20)",Progressive Conservative Party,1953-06-13,1953-08-10,17,1953-10-08
Parliament: 21,,,,,,,,,,,,,,,,,,,
1949-09-15 - 1953-06-13,"1367 days (3 years, 8 months, 28 days)","1388 days (3 years, 9 months, 18 days)",7,7,6,1949-10-20,115,35,24,Louis Stephen St-Laurent (24),Majority,Liberal Party of Canada,"St-Laurent, Louis Stephen","Drew, George Alexander",Progressive Conservative Party,1949-04-30,1949-06-27,30,1949-08-25
Parliament: 20,,,,,,,,,,,,,,,,,,,
1945-09-06 - 1949-04-30,"1332 days (3 years, 7 months, 23 days)","1360 days (3 years, 8 months, 21 days)",5,5,5,1945-10-12,123,36,17,"William Lyon Mackenzie King (5)
Louis Stephen St-Laurent (12)",Minority,Liberal Party of Canada,"King, William Lyon Mackenzie (1935-10-23 - 1948-11-14)
St-Laurent, Louis Stephen (1948-11-15 - 1957-06-20)","Bracken, John (1945-06-11 - 1948-07-20)
Drew, George Alexander (1948-10-02 - 1954-11-01)",Progressive Conservative Party,1945-04-16,1945-06-11,18,1945-08-09
Parliament: 19,,,,,,,,,,,,,,,,,,,
1940-05-16 - 1945-04-16,"1796 days (4 years, 11 months)","1825 days (4 years, 11 months, 29 days)",6,6,5,1940-06-24,90,39,33,William Lyon Mackenzie King (33),Majority,Liberal Party of Canada,"King, William Lyon Mackenzie","Hanson, Richard Burpee (1940-05-14 - 1943-01-01)
Graydon, Gordon (1943-01-01 - 1945-06-10)",National Government,1940-01-27,1940-03-26,17,1940-04-17
Parliament: 18,,,,,,,,,,,,,,,,,,,
1936-02-06 - 1940-01-25,"1449 days (3 years, 11 months, 18 days)","1538 days (4 years, 2 months, 16 days)",6,6,5,1936-05-01,200,85,21,William Lyon Mackenzie King (21),Majority,Liberal Party of Canada,"King, William Lyon Mackenzie","Bennett, Richard Bedford (1935-10-23 - 1938-07-06)
Manion, Robert James (1938-07-07 - 1940-05-13)",Conservative (1867-1942),1935-08-15,1935-10-14,30,1935-11-09
Parliament: 17,,,,,,,,,,,,,,,,,,,
1930-09-08 - 1935-08-14,"1801 days (4 years, 11 months, 5 days)","1822 days (4 years, 11 months, 26 days)",6,6,5,1931-06-01,308,266,33,Richard Bedford Bennett (33),Majority,Conservative (1867-1942),"Bennett, Richard Bedford","King, William Lyon Mackenzie",Liberal Party of Canada,1930-05-30,1930-07-28,31,1930-08-18
Parliament: 16,,,,,,,,,,,,,,,,,,,
1926-12-09 - 1930-05-30,"1268 days (3 years, 5 months, 20 days)","1305 days (3 years, 6 months, 26 days)",4,4,4,1927-02-17,156,70,22,William Lyon Mackenzie King (22),Minority,Liberal Party of Canada,"King, William Lyon Mackenzie","Guthrie, Hugh (1926-10-11 - 1927-10-11)
Bennett, Richard Bedford (1927-10-12 - 1930-08-06)",Conservative (1867-1942),1926-07-20,1926-09-14,33,1926-11-02
Parliament: 15,,,,,,,,,,,,,,,,,,,
1926-01-07 - 1926-07-02,"176 days (5 months, 24 days)","207 days (6 months, 24 days)",1,1,1,1926-04-15,168,98,2,William Lyon Mackenzie King (2),Minority,"Liberal Party of Canada (1921-12-29 - 1926-06-28)
Conservative (1867-1942) (1926-06-29 - 1926-09-24)","King, William Lyon Mackenzie (1921-12-29 - 1926-06-28)
Meighen, Arthur (1926-06-29 - 1926-09-24)","Meighen, Arthur (1921-12-29 - 1926-06-28)
King, William Lyon Mackenzie (1926-06-29 - 1926-09-24)","Conservative (1867-1942) (1921-12-29 - 1926-06-28)
Liberal Party of Canada (1926-06-29 - 1926-09-24)",1925-09-05,1925-10-29,4,1925-12-07
Parliament: 14,,,,,,,,,,,,,,,,,,,
1922-03-08 - 1925-09-05,"1277 days (3 years, 5 months, 29 days)","1329 days (3 years, 7 months, 20 days)",4,4,5,1922-06-12,188,96,20,William Lyon Mackenzie King (20),Majority,Liberal Party of Canada,"King, William Lyon Mackenzie","Meighen, Arthur",Conservative (1867-1942),1921-10-08,1921-12-06,41,1922-01-15
Parliament: 13,,,,,,,,,,,,,,,,,,,
